num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,"[1, 2]",0.1,1000,0.3651557511426496,0.10731352786579111,0.7803182957818846
2,"[1, 2]",0.01,1000,0.38976104496971353,0.10698378534749435,0.7915497332995879
3,"[1, 2]",0.1,2000,0.3638008819631378,0.10754603656215585,0.7811027985634366
4,"[1, 2]",0.01,2000,0.3767320580866224,0.10654173731932776,0.7847991395429085
5,"[2, 4]",0.1,1000,0.2147485098611195,0.003172891083357322,0.7459564515235513
6,"[2, 4]",0.01,1000,0.39906557517595187,0.10551947821383191,0.794232393398163
7,"[2, 4]",0.1,2000,0.2138280377088661,0.0007443773250306094,0.7847515983774287
8,"[2, 4]",0.01,2000,0.3297215041343859,0.07389055752433785,0.7224419814853626
9,"[4, 8]",0.1,1000,0.2126567089815463,1.406450130787314e-05,0.7462331747315485
10,"[4, 8]",0.01,1000,0.4070708767684213,0.10588584304939133,0.799288478232962
11,"[4, 8]",0.1,2000,0.2138820196681569,0.00010086434689973982,0.7463226485703183
12,"[4, 8]",0.01,2000,0.2744184942010478,0.03361804888028951,0.6878677033555114
13,"[8, 16]",0.1,1000,0.21450502086618786,2.638079210773583e-07,0.7246603240089802
14,"[8, 16]",0.01,1000,0.37234880315596464,0.057336986369588706,0.7353321970366133
15,"[8, 16]",0.1,2000,0.21524427838066623,1.892003728514161e-08,0.7482025869629269
16,"[8, 16]",0.01,2000,0.23890531336861623,0.002613800357563636,0.6758045295811412
17,"[1, 1]",0.1,1000,0.364694406337883,0.10697862001620186,0.779944228661782
18,"[1, 1]",0.01,1000,0.3946774303876682,0.10285195513300648,0.7931378985274948
19,"[1, 1]",0.1,2000,0.3636634002720707,0.10713926575521185,0.7816175217601029
20,"[1, 1]",0.01,2000,0.3739324483977683,0.10574394108392067,0.7825326975294488
21,"[2, 2]",0.1,1000,0.3663236825313792,0.10712279797030214,0.777602049911441
22,"[2, 2]",0.01,1000,0.39206469859942883,0.10248970066782201,0.7884041728695331
23,"[2, 2]",0.1,2000,0.36432263604073883,0.10767101486003011,0.7781912152476768
24,"[2, 2]",0.01,2000,0.3797355096505705,0.10459997377437916,0.7838727918685956
25,"[4, 4]",0.1,1000,0.21622968872053874,0.0025193320617468416,0.7210324670243901
26,"[4, 4]",0.01,1000,0.3996389075747749,0.10027115051440336,0.7916653415308729
27,"[4, 4]",0.1,2000,0.215195310894921,0.001573285125379831,0.7726089248245144
28,"[4, 4]",0.01,2000,0.38787926913305076,0.10263535698545327,0.7852407736377062
29,"[8, 8]",0.1,1000,0.213136411791319,4.932777380809608e-05,0.7198926303867754
30,"[8, 8]",0.01,1000,0.3568485403971945,0.044030494154488856,0.7309235968012413
31,"[8, 8]",0.1,2000,0.21552302400950044,7.877350091116221e-05,0.7368463446948097
32,"[8, 8]",0.01,2000,0.22890220721038138,0.004156718008458417,0.6881895907114406
