num_experimento,num_neuronas_por_capa_oculta,tasa_de_aprendizaje,iteraciones,error_medio,error_minimo,max_error
1,[],0.1,1000,0.249619371626414,3.944327614543032e-05,0.8379036690541128
2,[],0.01,1000,0.2609888832400066,8.004214140350512e-05,0.8176171208283765
3,[],0.1,2000,0.24962355840049402,3.944533389361367e-05,0.8379273790649554
4,[],0.01,2000,0.2620998299260278,7.960328297245867e-05,0.8262423526889362
